date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:27	27642/27642	---MCZ	200	added ('OK')	text/html	date:Sun,%2027%20Jan%202019%2001:02:34%20GMT	https://colorlib.com/preview/theme/spring/index.html	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/index.html	(from )
22:52:35	73/73	---MCZ	200	added ('OK')	text/plain	etag:W/%22526e4e2b-5e%22	https://colorlib.com/robots.txt		(from )
22:52:36	9467/9467	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d0351-24fb%22	https://colorlib.com/preview/theme/spring/css/open-iconic-bootstrap.min.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/open-iconic-bootstrap.min.css	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:37	56663/56663	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d0342-11fa9%22	https://colorlib.com/preview/theme/spring/css/animate.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/animate.css	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:38	3440/3440	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d0351-d70%22	https://colorlib.com/preview/theme/spring/css/owl.carousel.min.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/owl.carousel.min.css	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:38	965/965	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d0353-3c5%22	https://colorlib.com/preview/theme/spring/css/owl.theme.default.min.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/owl.theme.default.min.css	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:39	5236/5236	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d0350-1b26%22	https://colorlib.com/preview/theme/spring/css/magnific-popup.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/magnific-popup.css	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:40	25948/25948	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d033b-657f%22	https://colorlib.com/preview/theme/spring/css/aos.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/aos.css	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:41	46816/46816	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d034e-b6e0%22	https://colorlib.com/preview/theme/spring/css/ionicons.min.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/ionicons.min.css	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:44	16329/16329	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d033f-4619%22	https://colorlib.com/preview/theme/spring/css/bootstrap-datepicker.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/bootstrap-datepicker.css	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:46	1059/1059	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d0345-54e%22	https://colorlib.com/preview/theme/spring/css/flaticon.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/flaticon.css	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:46	1426/1426	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d034f-634%22	https://colorlib.com/preview/theme/spring/css/jquery.timepicker.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/jquery.timepicker.css	(from https://colorlib.com/preview/theme/spring/index.html)
22:52:53	66594/66594	---MCZ	200	added ('OK')	text/css	etag:W/%225c4d034e-13803%22	https://colorlib.com/preview/theme/spring/css/icomoon.css	C:/Users/User/Downloads/Compressed/New%20folder/New%20folder%20(2)/web/colorlib.com/preview/theme/spring/css/icomoon.css	(from https://colorlib.com/preview/theme/spring/index.html)
